CountryName	0-4	5-14	15-34	35-64	65+
Angola	0.1763	0.2876	0.3310	0.1831	0.0219
Australia	0.0655	0.1274	0.2655	0.3794	0.1621
Burundi	0.1727	0.2798	0.3466	0.1771	0.0238
Benin	0.1574	0.2620	0.3414	0.2064	0.0328
Burkina Faso	0.1661	0.2776	0.3413	0.1908	0.0241
Bangladesh	0.0870	0.1805	0.3589	0.3212	0.0523
Bermuda	0.0526	0.1150	0.2597	0.4056	0.1670
Bolivia	0.1020	0.2005	0.3467	0.2764	0.0749
Barbados	0.0526	0.1150	0.2597	0.4056	0.1670
Brunei	0.0720	0.1508	0.3237	0.3974	0.0557
Bhutan	0.0828	0.1662	0.3872	0.3018	0.0620
Botswana	0.1156	0.2185	0.3467	0.2742	0.0451
Central African Republic	0.1529	0.2826	0.3550	0.1816	0.0280
China	0.0583	0.1188	0.2753	0.4279	0.1197
Cote d'Ivoire	0.1570	0.2585	0.3529	0.2032	0.0288
Cameroon	0.1550	0.2656	0.3492	0.2030	0.0272
Democratic Republic of Congo	0.1760	0.2812	0.3236	0.1883	0.0302
Congo	0.1490	0.2637	0.3264	0.2333	0.0276
Comoros	0.1420	0.2482	0.3497	0.2290	0.0311
Cuba	0.0504	0.1088	0.2556	0.4263	0.1589
Djibouti	0.1004	0.1888	0.3587	0.3051	0.0471
Dominica	0.0930	0.1819	0.3354	0.3149	0.0753
Dominican Republic	0.0924	0.1819	0.3354	0.3149	0.0753
Algeria	0.1150	0.1929	0.3013	0.3234	0.0674
Ecuador	0.0945	0.1794	0.3378	0.3123	0.0759
Egypt	0.1241	0.2151	0.3252	0.2823	0.0533
Eritrea	0.1396	0.2717	0.3427	0.2010	0.0451
Ethiopia	0.1461	0.2531	0.3648	0.2007	0.0354
Finland	0.0477	0.1110	0.2375	0.3783	0.2255
Fiji	0.0997	0.1904	0.3168	0.3349	0.0582
Faeroe Islands	0.07	0.13	0.28	0.35	0.17
Gabon	0.1439	0.2287	0.3368	0.2553	0.0353
Ghana	0.1342	0.2371	0.3476	0.2497	0.0314
Guinea	0.1599	0.2706	0.3583	0.1817	0.0295
Gambia	0.1695	0.2701	0.3503	0.1849	0.0253
Greenland	0.0721	0.1427	0.2998	0.4109	0.0745
Guatemala	0.1153	0.2181	0.3747	0.2415	0.0504
Guyana	0.0939	0.1834	0.3359	0.3168	0.0700
Hong Kong	0.0490	0.0784	0.2229	0.4684	0.1820
Honduras	0.1027	0.2032	0.3766	0.2678	0.0497
Haiti	0.1108	0.2140	0.3591	0.2644	0.0517
Indonesia	0.0865	0.1729	0.3176	0.3604	0.0626
India	0.0847	0.1769	0.3465	0.3262	0.0657
Ireland	0.0635	0.1448	0.2411	0.4048	0.1458
Iraq	0.1338	0.2434	0.3541	0.2343	0.0344
Iceland	0.0599	0.1343	0.2714	0.3782	0.1562
Jamaica	0.0780	0.1556	0.3336	0.3421	0.0908
Japan	0.0378	0.0867	0.1948	0.3967	0.2840
Kazakhstan	0.1023	0.1892	0.2848	0.3447	0.0790
Kenya	0.1310	0.2549	0.3650	0.2240	0.0251
Kyrgyz Republic	0.1170	0.2100	0.3303	0.2959	0.0473
Cambodia	0.1064	0.2028	0.3481	0.2942	0.0485
South Korea	0.0380	0.0884	0.2433	0.4733	0.1579
Laos	0.1090	0.2099	0.3659	0.2720	0.0426
Liberia	0.1464	0.2573	0.3415	0.2216	0.0332
Libya	0.0908	0.1870	0.3264	0.3505	0.0453
Sri Lanka	0.0775	0.1593	0.2764	0.3744	0.1123
Lesotho	0.1183	0.2040	0.3673	0.2608	0.0495
Macao	0.0550	0.0882	0.2747	0.4620	0.1197
Morocco	0.0901	0.1776	0.3174	0.3389	0.0761
Madagascar	0.1484	0.2522	0.3518	0.2166	0.0310
Mexico	0.0850	0.1734	0.3315	0.3340	0.0762
Mali	0.1780	0.2920	0.3270	0.1782	0.0248
Myanmar	0.0829	0.1720	0.3375	0.3453	0.0624
Mongolia	0.1145	0.1964	0.3136	0.3324	0.0431
Mozambique	0.1650	0.2756	0.3455	0.1853	0.0286
Mauritania	0.1484	0.2485	0.3425	0.2289	0.0318
Mauritius	0.0504	0.1175	0.2987	0.4083	0.1252
Malawi	0.1528	0.2771	0.3579	0.1858	0.0264
Malaysia	0.0814	0.1531	0.3513	0.3424	0.0718
Namibia	0.1323	0.2361	0.3601	0.2356	0.0359
Niger	0.1978	0.2989	0.3147	0.1626	0.0260
Nigeria	0.1646	0.2702	0.3305	0.2072	0.0274
Nicaragua	0.0992	0.1958	0.3499	0.2983	0.0568
Norway	0.0557	0.1169	0.2629	0.3893	0.1753
Nepal	0.0929	0.1952	0.3825	0.2711	0.0583
New Zealand	0.0625	0.1318	0.2694	0.3726	0.1637
Pakistan	0.1266	0.2216	0.3564	0.2519	0.0435
Philippines	0.0969	0.2035	0.3495	0.2950	0.0551
Papua New Guinea	0.1237	0.2277	0.3481	0.2647	0.0357
Paraguay	0.0983	0.1906	0.3611	0.2819	0.0681
Rwanda	0.1455	0.2492	0.3508	0.2233	0.0312
Saudi Arabia	0.0856	0.1614	0.3163	0.4018	0.0350
Sudan	0.1446	0.2534	0.3473	0.2180	0.0367
Senegal	0.1562	0.2697	0.3404	0.2026	0.0311
Singapore	0.0441	0.0789	0.2620	0.4815	0.1335
Solomon Islands	0.1502	0.2501	0.3268	0.2362	0.0367
Sierra Leone	0.1452	0.2582	0.3553	0.2120	0.0293
El Salvador	0.0888	0.1771	0.3512	0.2964	0.0865
Somalia	0.1778	0.2837	0.3386	0.1709	0.0290
South Sudan	0.1525	0.2607	0.3492	0.2040	0.0335
Suriname	0.0890	0.1777	0.3228	0.3392	0.0714
Eswatini	0.1238	0.2506	0.3661	0.2194	0.0401
Seychelles	0.0810	0.1566	0.2742	0.4075	0.0807
Syria	0.1100	0.1981	0.3540	0.2895	0.0487
Chad	0.1784	0.2865	0.3425	0.1676	0.0250
Togo	0.1474	0.2590	0.3423	0.2223	0.0291
Thailand	0.0515	0.1140	0.2647	0.4402	0.1296
Tajikistan	0.1423	0.2304	0.3403	0.2552	0.0318
Timor-Leste	0.1351	0.2332	0.3699	0.2189	0.0428
Trinidad and Tobago	0.0631	0.1375	0.2782	0.4060	0.1151
Tunisia	0.0850	0.1579	0.2911	0.3773	0.0887
Taiwan	0.0430	0.0847	0.2500	0.4643	0.1585
Tanzania	0.1630	0.2725	0.3379	0.2001	0.0264
Uganda	0.1704	0.2897	0.3493	0.1707	0.0199
Uruguay	0.0681	0.1352	0.2870	0.3588	0.1509
Uzbekistan	0.1025	0.1855	0.3440	0.3201	0.0479
Venezuela	0.0820	0.1895	0.3058	0.3419	0.0797
United States Virgin Islands	0.0572	0.1354	0.2317	0.3708	0.2050
Vietnam	0.0800	0.1509	0.3116	0.3778	0.0787
Vanuatu	0.1370	0.2471	0.3373	0.2425	0.0361
Yemen	0.1380	0.2503	0.3776	0.2047	0.0293
South Africa	0.1380	0.2503	0.3776	0.2047	0.0293
Zambia	0.1603	0.2799	0.3533	0.1852	0.0213
Zimbabwe	0.1411	0.2780	0.3443	0.2065	0.0301
United States / Hawaii	0.0602	0.1184	0.2584	0.3734	0.1896
United States / Virgin Islands	0.0572	0.1354	0.2317	0.3708	0.2050
United States / Vermont	0.0465	0.1028	0.2581	0.3921	0.2004
United States / North Dakota	0.0710	0.1306	0.2939	0.3473	0.1573
United States / South Dakota	0.0691	0.1375	0.2619	0.3597	0.1717
Serbia	0.0480	0.1057	0.2556	0.4001	0.1906
Sweden	0.0596	0.1167	0.2486	0.3718	0.2033
Turkey	0.0779	0.1616	0.3129	0.3579	0.0898
United States / Connecticut	0.0510	0.1147	0.2600	0.3976	0.1768
United States / Delaware	0.0562	0.1170	0.2531	0.3797	0.1940
United States / Massachusetts	0.0518	0.1090	0.2800	0.3896	0.1697
United States / New Jersey	0.0579	0.1220	0.2528	0.4010	0.1661
United States / New York	0.0579	0.1140	0.2731	0.3855	0.1694
United States / Pennsylvania	0.0545	0.1153	0.2587	0.3845	0.1870
United States / West Virginia	0.0519	0.1135	0.2404	0.3894	0.2048
Austria	0.0498	0.0944	0.2430	0.4209	0.1920
Bulgaria	0.0450	0.1018	0.2139	0.4247	0.2147
Bosnia and Herzegovina	0.0406	0.1046	0.2392	0.4364	0.1792
Switzerland	0.0522	0.0974	0.2383	0.4211	0.1910
Spain	0.0426	0.1014	0.2026	0.4536	0.1998
France	0.0555	0.1211	0.2329	0.3831	0.2075
Guam	0.0803	0.1583	0.3118	0.3443	0.1054
Hungary	0.0477	0.0964	0.2329	0.4214	0.2016
Italy	0.0384	0.0914	0.2042	0.4329	0.2330
Jordan	0.1037	0.2248	0.3548	0.2771	0.0395
Netherlands	0.0501	0.1069	0.2446	0.3981	0.2003
Poland	0.0498	0.1024	0.2376	0.4228	0.1874
Portugal	0.0393	0.0912	0.2118	0.4299	0.2277
Romania	0.0488	0.1064	0.2327	0.4198	0.1923
Slovak Republic	0.0520	0.1036	0.2435	0.4340	0.1670
United Kingdom / England	0.0586	0.1225	0.2521	0.3829	0.1839
United Kingdom / Northern Ireland	0.0636	0.1334	0.2518	0.3850	0.1662
United Kingdom / Wales	0.0525	0.1156	0.2461	0.3756	0.2101
United Kingdom	0.0578	0.1190	0.2497	0.3870	0.1865
Aruba	0.0569	0.1169	0.2586	0.4215	0.1460
Panama	0.0902	0.1747	0.3135	0.3362	0.0854
United States / Alabama	0.0600	0.1241	0.2617	0.3809	0.1733
United States / Arizona	0.0590	0.1279	0.2721	0.3612	0.1798
United States / California	0.0603	0.1267	0.2843	0.3809	0.1478
United States / Florida	0.0531	0.1105	0.2449	0.3822	0.2094
United States / Georgia	0.0618	0.1331	0.2772	0.3850	0.1429
United States / Louisiana	0.0648	0.1308	0.2701	0.3749	0.1594
United States / Mississippi	0.0616	0.1329	0.2677	0.3742	0.1635
United States / North Carolina	0.0581	0.1234	0.2673	0.3842	0.1670
United States / South Carolina	0.0568	0.1225	0.2599	0.3788	0.1820
United States / Texas	0.0687	0.1437	0.2874	0.3715	0.1288
United States	0.0600	0.1243	0.2731	0.3769	0.1663
Georgia	0.0673	0.1349	0.2527	0.3926	0.1525
Croatia	0.0449	0.1006	0.2257	0.4163	0.2125
Lithuania	0.0533	0.1015	0.2297	0.4093	0.2062
San Marino	0.05	0.11	0.33	0.35	0.16
Slovenia	0.0487	0.1027	0.2074	0.4338	0.2074
United States / Alaska	0.0698	0.1376	0.2925	0.3749	0.1252
United States / Colorado	0.0577	0.1233	0.2877	0.3850	0.1463
United States / Illinois	0.0589	0.1244	0.2692	0.3863	0.1612
United States / Indiana	0.0621	0.1306	0.2705	0.3755	0.1613
United States / Kansas	0.0636	0.1360	0.2731	0.3640	0.1632
United States / Michigan	0.0567	0.1198	0.2641	0.3825	0.1768
United States / New Mexico	0.0577	0.1298	0.2683	0.3641	0.1801
United States / Ohio	0.0591	0.1232	0.2619	0.3807	0.1751
United States / Rhode Island	0.0515	0.1065	0.2783	0.3871	0.1766
Andorra	0.04	0.113	0.318	0.432	0.143
Belgium	0.0547	0.1157	0.2393	0.3978	0.1925
Czech Republic	0.0530	0.1054	0.2157	0.4253	0.2014
Luxembourg	0.0531	0.1025	0.2701	0.4304	0.1439
United States / Iowa	0.0620	0.1295	0.2645	0.3687	0.1753
United States / Minnesota	0.0623	0.1299	0.2624	0.3822	0.1632
United States / Montana	0.0572	0.1210	0.2566	0.3720	0.1932
United States / Nebraska	0.0677	0.1377	0.2706	0.3625	0.1615
United States / Utah	0.0773	0.1644	0.3089	0.3353	0.1141
United States / Wisconsin	0.0568	0.1226	0.2592	0.3867	0.1747
United States / Wyoming	0.0604	0.1326	0.2609	0.3748	0.1714
