"date","pct_cli_weighted","pct_cli","total_responses","population"
2020-09-18,0.017714,0.014799,473,6663394
2020-09-19,0.001714,0.003571,560,6663394
2020-09-20,0.002439,0.005597,536,6663394
2020-09-21,0.006484,0.007782,514,6663394
2020-09-22,0.003372,0.007273,550,6663394
2020-09-23,0.009059,0.012868,544,6663394
2020-09-24,0.009368,0.01006,497,6663394
2020-09-25,0.004324,0.002105,475,6663394
2020-09-26,0.008159,0.009671,517,6663394
2020-09-27,0.005844,0.005747,522,6663394
2020-09-28,0.013182,0.012552,478,6663394
2020-09-29,0.009007,0.012712,472,6663394
2020-09-30,0.008852,0.006637,452,6663394
2020-10-01,0.007483,0.008969,446,6663394
2020-10-02,0.01742,0.013453,446,6663394
2020-10-03,0.008857,0.013699,511,6663394
2020-10-04,0.006099,0.006289,477,6663394
2020-10-05,0.002331,0.002169,461,6663394
2020-10-06,0.003798,0.004016,498,6663394
2020-10-07,0.010766,0.008677,461,6663394
2020-10-08,0.002376,0.004975,402,6663394
2020-10-09,0.003947,0.005495,364,6663394
2020-10-10,0.009366,0.010381,289,6663394
2020-10-11,0.00691,0.00722,277,6663394
2020-10-12,0.007194,0.011111,270,6663394
2020-10-13,0.007901,0.01108,361,6663394
2020-10-14,0,0,368,6663394
2020-10-15,0.009346,0.009434,424,6663394
2020-10-16,0.007583,0.008571,350,6663394
2020-10-17,0.004352,0.005831,343,6663394
2020-10-18,0,0,348,6663394
2020-10-19,0.018106,0.015915,377,6663394
2020-10-20,0.001859,0.00271,369,6663394
2020-10-21,0.002668,0.002933,341,6663394
2020-10-22,0.005263,0.005634,355,6663394
2020-10-23,0,0,327,6663394
2020-10-24,0.003667,0.003106,322,6663394
2020-10-25,0.011853,0.014286,350,6663394
2020-10-27,0.005024,0.005333,375,6663394
2020-10-28,0.001424,0.001923,520,6663394
2020-10-29,0.004296,0.00303,330,6663394
2020-10-30,0.003099,0.003155,317,6663394
2020-10-31,0.006422,0.009677,310,6663394
2020-11-01,0.001795,0.003311,302,6663394
2020-11-02,0,0,351,6663394
2020-11-03,0,0,295,6663394
2020-11-04,0.004734,0.006689,299,6663394
2020-11-05,0,0,283,6663394
2020-11-06,0,0,243,6663394
2020-11-07,0.004517,0.007463,268,6663394
2020-11-08,0.006259,0.007663,261,6663394
2020-11-09,0.007333,0.006757,296,6663394
2020-11-10,0.013872,0.018315,273,6663394
2020-11-11,0.006958,0.008584,233,6663394
2020-11-12,0.003629,0.004739,211,6663394
2020-11-13,0,0,206,6663394
2020-11-14,0.003292,0.004651,215,6663394
2020-11-15,0.013967,0.004202,238,6663394
2020-11-16,0.002821,0.00431,232,6663394
2020-11-17,0,0,218,6663394
2020-11-18,0.007288,0.007117,281,6663394
2020-11-19,0.00398,0.006042,331,6663394
2020-11-20,0.010808,0.009709,309,6663394
2020-11-21,0.014511,0.011628,344,6663394
2020-11-22,0.004973,0.007299,411,6663394
2020-11-23,0.003102,0.00303,330,6663394
2020-11-24,0.002233,0.003077,325,6663394
2020-11-25,0.009846,0.005319,376,6663394
2020-11-26,0.004236,0.005666,353,6663394
2020-11-27,0.001296,0.002681,373,6663394
2020-11-28,0.011719,0.009756,410,6663394
2020-11-29,0.00449,0.006881,436,6663394
2020-11-30,0.003238,0.00542,369,6663394
2020-12-01,0.009964,0.013661,366,6663394
2020-12-02,0.002136,0.00289,346,6663394
2020-12-03,0.001461,0.002564,390,6663394
2020-12-04,0.004043,0.005556,360,6663394
2020-12-05,0.006753,0.005115,391,6663394
2020-12-06,0.019876,0.004598,435,6663394
2020-12-07,0.003161,0.005025,398,6663394
2020-12-08,0.005945,0.007042,426,6663394
2020-12-09,0.005114,0.004866,411,6663394
2020-12-10,0.003582,0.005464,366,6663394
2020-12-11,0,0,442,6663394
