"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_stillsick_past_smooth"
"2020-07-26","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0127712794456608,0,0
"2020-07-27","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0127519632638101,0,0
"2020-07-28","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0127227763019639,0,0.00383141762452107
"2020-07-29","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0126947192437193,0,0.00383141762452107
"2020-07-30","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0126676015459729,0,0.00383141762452107
"2020-07-31","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.012641272783731,0,0.00383141762452107
"2020-08-01","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0126160640373911,0,0.00383141762452107
"2020-08-02","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0125922382275165,0,0.00383141762452107
"2020-08-03","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0125693145577108,0,0.00383141762452107
"2020-08-04","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.01254723140395,0,0.00383141762452107
"2020-08-05","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0125259373077228,0,0.00383141762452107
"2020-08-06","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0125053913540589,0,0.00383141762452107
"2020-08-07","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0124855616484022,0,0.00383141762452107
"2020-08-08","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.012466427929682,0,0.00383141762452107
"2020-08-09","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0124479550242676,0,0.00383141762452107
"2020-08-10","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0124340189176843,0,0.00383141762452107
"2020-08-11","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0124168465400216,0,0.00383141762452107
"2020-08-12","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0124000538028061,0,0.00383141762452107
"2020-08-13","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0123833677798634,0,0.00383141762452107
"2020-08-14","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0123664779815845,0,0.00383141762452107
"2020-08-15","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0123511168650824,0,0.00383141762452107
"2020-08-16","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0123366108511863,0,0.00383141762452107
"2020-08-17","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0123225126907804,0,0.00383141762452107
"2020-08-18","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0123088018339252,0,0.00383141762452107
"2020-08-19","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0122954613176512,0,0.00383141762452107
"2020-08-20","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.012282477914995,0,0.00383141762452107
"2020-08-21","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0122698422559323,0,0.00383141762452107
"2020-08-22","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0122575485295962,0,0.0038314176245213
"2020-08-23","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0122455934214252,0,0.00383141762452133
"2020-08-24","BR","BRGO",6610681,0.0114942528735632,0,0,0.00383141762452107,0.0122339805605613,0,0.00383141762452128
"2020-08-25","BR","BRGO",6610681,0.012448132780083,0,0,0.004149377593361,0.0122624242852413,0,0.00414937759335174
"2020-08-26","BR","BRGO",6610681,0.0133333333333333,0,0,0.00444444444444444,0.0123266477342523,0,0.00444057780175784
"2020-08-27","BR","BRGO",6610681,0.0133333333333333,0,0,0.00444444444444444,0.0123888018773741,0,0.00444440932141013
"2020-08-28","BR","BRGO",6610681,0.0133333333333333,0,0,0.00444444444444444,0.0124487770445329,0,0.00444295508402045
"2020-08-29","BR","BRGO",6610681,0.04,0,0,0.04,0.013682041116764,0,0.0399999845956298
"2020-08-30","BR","BRGO",6610681,0.04,0,0,0.04,0.0151960498851634,0,0.0400000339784652
"2020-08-31","BR","BRGO",6610681,0.04,0,0,0.04,0.0445949075381194,0,0.03999066780388
"2020-09-01","BR","BRGO",6610681,0.04,0,0,0.04,0.0458356917294219,0,0.0400651194186155
"2020-09-02","BR","BRGO",6610681,0.04,0,0,0.04,0.0447274483371508,0,0.040294220788179
"2020-09-03","BR","BRGO",6610681,0.04,0,0,0.04,0.042473461951491,0,0.039823809267444
"2020-09-04","BR","BRGO",6610681,0.04,0,0,0.04,0.0424761220139157,0,0.039898009569516
"2020-09-05","BR","BRGO",6610681,0.04,0,0,0.04,0.0434911469732784,0,0.0400768080316534
"2020-09-06","BR","BRGO",6610681,0.04,0,0,0.04,0.0432635431345642,0,0.0400143204494636
"2020-09-07","BR","BRGO",6610681,0.04,0,0,0.04,0.0424406171843533,0,0.0399857109364002
"2020-09-08","BR","BRGO",6610681,0.04,0,0,0.04,0.0412052622992926,0,0.0399843769811937
"2020-09-09","BR","BRGO",6610681,0.04,0,0,0.04,0.0413356778412853,0,0.0399970238488629
"2020-09-10","BR","BRGO",6610681,0.04,0,0,0.04,0.0416632344416649,0,0.0400176124590547
"2020-09-11","BR","BRGO",6610681,0.04,0,0,0.04,0.0419748191133449,0,0.0400024130802218
"2020-09-12","BR","BRGO",6610681,0.04,0,0,0.04,0.0415928915274268,0,0.040002824973093
"2020-09-13","BR","BRGO",6610681,0.04,0,0,0.04,0.0413476309432437,0,0.0399906600576532
"2020-09-14","BR","BRGO",6610681,0.04,0,0,0.04,0.0408403885493981,0,0.0399982415645747
"2020-09-15","BR","BRGO",6610681,0.04,0,0,0.04,0.0407416408384476,0,0.0399967953494865
"2020-09-16","BR","BRGO",6610681,0.04,0,0,0.04,0.0411091204546843,0,0.0400017445266495
"2020-09-17","BR","BRGO",6610681,0.04,0,0,0.04,0.0411773060465856,0,0.0400030436950151
"2020-09-18","BR","BRGO",6610681,0.04,0,0,0.04,0.0411228619229904,0,0.0400007300291295
"2020-09-19","BR","BRGO",6610681,0.04,0,0,0.04,0.0408922042711051,0,0.040001945334588
"2020-09-20","BR","BRGO",6610681,0.04,0,0,0.04,0.0406344924341315,0,0.0399990024027946
"2020-09-21","BR","BRGO",6610681,0.04,0,0,0.04,0.0404297071677332,0,0.0399982647502695
"2020-09-22","BR","BRGO",6610681,0.04,0,0,0.04,0.0406619847248138,0,0.0399995325124066
"2020-09-23","BR","BRGO",6610681,0.04,0,0,0.04,0.0408618258717063,0,0.0399983369654776
"2020-09-24","BR","BRGO",6610681,0.04,0,0,0.04,0.0408748293975883,0,0.0399991852442906
"2020-09-25","BR","BRGO",6610681,0.04,0,0,0.04,0.040817727944142,0,0.0400010852452899
"2020-09-26","BR","BRGO",6610681,0.04,0,0,0.04,0.0407005635826766,0,0.0400007516408926
"2020-09-27","BR","BRGO",6610681,0.04,0,0,0.04,0.0407449863244177,0,0.0400003295787463
"2020-09-28","BR","BRGO",6610681,0.04,0,0,0.04,0.0406393585606797,0,0.0400011103504023
"2020-09-29","BR","BRGO",6610681,0.04,0,0,0.04,0.0404613391311804,0,0.0400007952070942
"2020-09-30","BR","BRGO",6610681,0.04,0,0,0.04,0.0406528689002592,0,0.0399999975236197
"2020-10-01","BR","BRGO",6610681,0.04,0,0,0.04,0.0407517736912687,0,0.0399993547270718
"2020-10-02","BR","BRGO",6610681,0.04,0,0,0.04,0.040751945955014,0,0.0399996610810214
"2020-10-03","BR","BRGO",6610681,0.04,0,0,0.04,0.0407380547431511,0,0.0399997045418875
"2020-10-04","BR","BRGO",6610681,0.04,0,0,0.04,0.040693902960952,0,0.0399992838383388
"2020-10-05","BR","BRGO",6610681,0.04,0,0,0.04,0.040640080831514,0,0.039999401548189
"2020-10-06","BR","BRGO",6610681,0.04,0,0,0.04,0.0405790299841552,0,0.0399995918470086
"2020-10-07","BR","BRGO",6610681,0.04,0,0,0.04,0.0403886357705742,0,0.0400001519120363
"2020-10-08","BR","BRGO",6610681,0.04,0,0,0.04,0.0405172913667398,0,0.0400003374010113
"2020-10-09","BR","BRGO",6610681,0.04,0,0,0.04,0.0406487850229402,0,0.0400002154912156
"2020-10-10","BR","BRGO",6610681,0.04,0,0,0.04,0.0406752441603955,0,0.0400002151719785
"2020-10-11","BR","BRGO",6610681,0.04,0,0,0.04,0.0406439433183554,0,0.0400004744898405
"2020-10-12","BR","BRGO",6610681,0.1,0,0,0.1,0.0861524484368311,0,0.0993538507431503
"2020-10-13","BR","BRGO",6610681,0.1,0,0,0.1,0.10723319008859,0,0.103568803875304
"2020-10-14","BR","BRGO",6610681,0.1,0,0,0.1,0.110410829214565,0,0.0986814921588927
"2020-10-15","BR","BRGO",6610681,0.1,0,0,0.1,0.108043624928272,0,0.0986954247063549
"2020-10-16","BR","BRGO",6610681,0.1,0,0,0.1,0.114463598315501,0,0.0987516959960471
"2020-10-17","BR","BRGO",6610681,0.1,0,0,0.1,0.11455147992309,0,0.0999450661158659
"2020-10-18","BR","BRGO",6610681,0.1,0,0,0.1,0.1123216631864,0,0.0991766275723013
"2020-10-19","BR","BRGO",6610681,0.1,0,0,0.1,0.108629823680599,0,0.0992306904679334
"2020-10-20","BR","BRGO",6610681,0.1,0,0,0.1,0.104190565429959,0,0.10020407816309
"2020-10-21","BR","BRGO",6610681,0.1,0,0,0.1,0.104566899923478,0,0.0985422582586853
"2020-10-22","BR","BRGO",6610681,0.1,0,0,0.1,0.106792406277909,0,0.0986949726078224
"2020-10-23","BR","BRGO",6610681,0.1,0,0,0.1,0.107227663481388,0,0.0993996079261052
"2020-10-24","BR","BRGO",6610681,0.1,0,0,0.1,0.1066739542548,0,0.099963847998827
"2020-10-25","BR","BRGO",6610681,0.1,0,0,0.1,0.105609834691497,0,0.100273532839566
"2020-10-26","BR","BRGO",6610681,0.1,0,0,0.1,0.104111099238796,0,0.100023431733348
"2020-10-27","BR","BRGO",6610681,0.1,0,0,0.1,0.102511300479159,0,0.0996580660088326
"2020-10-28","BR","BRGO",6610681,0.1,0,0,0.1,0.101143505362582,0,0.099830990575505
"2020-10-29","BR","BRGO",6610681,0.1,0,0,0.1,0.10259950939971,0,0.0999966286965927
"2020-10-30","BR","BRGO",6610681,0.1,0,0,0.1,0.103566379606763,0,0.100044429815171
"2020-10-31","BR","BRGO",6610681,0.1,0,0,0.1,0.10362796239997,0,0.100191802106279
"2020-11-01","BR","BRGO",6610681,0.1,0,0,0.1,0.103443611937525,0,0.100283900713332
"2020-11-02","BR","BRGO",6610681,0.1,0,0,0.1,0.103101667430576,0,0.100107938540484
"2020-11-03","BR","BRGO",6610681,0.1,0,0,0.1,0.102491764683474,0,0.0999052892605377
"2020-11-04","BR","BRGO",6610681,0.1,0,0,0.1,0.10174584515525,0,0.100110384397214
"2020-11-05","BR","BRGO",6610681,0.1,0,0,0.1,0.10089761477126,0,0.100214192768132
"2020-11-06","BR","BRGO",6610681,0,0,0,0,0.0969606133268033,0,0.033032399957755
"2020-11-07","BR","BRGO",6610681,0,0,0,0,0.093519627946374,0,0.00435821393258384
"2020-11-08","BR","BRGO",6610681,0,0,0,0,0.089707231874074,0,2.15847285064774e-06
"2020-11-09","BR","BRGO",6610681,0,0,0,0,0.0858144598373612,0,0.00243974413006557
"2020-11-10","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.0968883632214745,0.0666666666666667,0.131548294972813
"2020-11-11","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.340510255207209,0.0666666666666667,0.140267036614381
"2020-11-12","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.351976828503833,0.0666666666666667,0.145324318559867
"2020-11-13","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.3300515848758,0.0666666666666667,0.128174218028673
"2020-11-14","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.37778439634257,0.0666666666666667,0.122197611461155
"2020-11-15","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.364431443366176,0.0666666666666667,0.137192811404867
"2020-11-16","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.29552119463356,0.0666666666666667,0.132433501847275
"2020-11-17","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.3131349917415,0.0666666666666667,0.131276723141247
"2020-11-18","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.328838787307809,0.0666666666666667,0.135184966425122
"2020-11-19","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.34232544764766,0.0666666666666667,0.134189948027043
"2020-11-20","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.353635382596464,0.0666666666666667,0.125451581643786
"2020-11-21","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.363148030936223,0.0666666666666667,0.128842280338004
"2020-11-22","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.37114074771823,0.0666666666666667,0.133614857566665
"2020-11-23","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.377890885241924,0.0666666666666667,0.134724997594435
"2020-11-24","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.383608227895678,0.0666666666666667,0.134779287508331
"2020-11-25","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.388474242311343,0.0666666666666667,0.136497876222406
"2020-11-26","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.392631132932701,0.0666666666666667,0.136412775192512
"2020-11-27","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.39619243479983,0.0666666666666667,0.135689199015975
"2020-11-28","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.399250149355284,0.0666666666666667,0.13379128126146
"2020-11-29","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.401875029721024,0.0666666666666667,0.132792265156964
"2020-11-30","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.404127505095763,0.0666666666666667,0.132246514740586
"2020-12-01","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.346634391645512,0.0666666666666667,0.13181408640175
"2020-12-02","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.362959044750191,0.0666666666666667,0.131837005878205
"2020-12-03","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.351817440653869,0.0666666666666667,0.132200621945649
"2020-12-04","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.352460611373255,0.0666666666666667,0.132353507728095
"2020-12-05","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.35421582625953,0.0666667857075532,0.13311893788323
"2020-12-06","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.353099051370287,0.0666667624667979,0.133530533116224
"2020-12-07","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.346856068945773,0.0666670378168574,0.133779094014101
"2020-12-08","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.341557720698421,0.0666667299210209,0.13398129255684
"2020-12-09","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.337012338467534,0.0666666666666669,0.134057869602701
"2020-12-10","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.337444387065954,0.0666675200088295,0.133869111134934
"2020-12-11","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.350107910471667,0.0666667030263905,0.133796899043554
"2020-12-12","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.354700111760621,0.0666666666666669,0.133699328831615
"2020-12-13","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.3538730381908,0.0666666666666669,0.133394901421779
"2020-12-14","BR","BRGO",6610681,0.333333333333333,0.2,0.0666666666666667,0.133333333333333,0.353924860615632,0.0666666666666669,0.133245998936272
"2020-12-15","BR","BRGO",6610681,0.053968253968254,0.00952380952380952,0.00317460317460317,0.00634920634920635,0.340977436851759,0.0649029982363318,0.0617109479524606
"2020-12-16","BR","BRGO",6610681,0.053968253968254,0.00952380952380952,0.00317460317460317,0.00634920634920635,0.327105953022666,0.0632346632346635,0.0229675940309526
"2020-12-17","BR","BRGO",6610681,0.053968253968254,0.00952380952380952,0.00317460317460317,0.00634920634920635,0.315523408230905,0.0616541353383461,0.00387199215791133
