"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_stillsick_past_smooth"
"2020-06-23","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.0404796122932528,0.00194952585656952
"2020-06-24","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.0404748331391518,0.00196056035854727
"2020-06-25","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.0404708781247239,0.0019645263485807
"2020-06-26","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.0404670220605207,0.00195983940327981
"2020-06-27","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.0404635603329126,0.00196111485413289
"2020-06-28","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.0404590643682645,0.00196019710607333
"2020-06-29","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.040452912690969,0.00196065426250965
"2020-06-30","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.0404145368100219,0.0019604219806092
"2020-07-01","ES","ESNC",654214,0.0405622489959839,0,0,0.00196078431372549,0.0404121924449568,0.00196068701073411
"2020-07-02","ES","ESNC",654214,0.0405622489959839,0,0,0.00196078431372549,0.0404085009016991,0.00196074043540387
"2020-07-03","ES","ESNC",654214,0.0405857740585774,0,0,0.00196078431372549,0.040404068914934,0.00196085359899927
"2020-07-04","ES","ESNC",654214,0.0410480349344978,0,0,0.00196078431372549,0.0404068230591635,0.00196081285140314
"2020-07-05","ES","ESNC",654214,0.040948275862069,0,0,0.00185185185185185,0.0404082328614053,0.00186777723320001
"2020-07-06","ES","ESNC",654214,0.0429245283018868,0,0,0.00185185185185185,0.0404366857806037,0.00184460802971416
"2020-07-07","ES","ESNC",654214,0.0420289855072464,0,0,0.00185185185185185,0.0404534560819627,0.0018388205732501
"2020-07-08","ES","ESNC",654214,0.0420289855072464,0,0,0.00185185185185185,0.0404725609752163,0.00185260370008058
"2020-07-09","ES","ESNC",654214,0.0420289855072464,0,0,0.00185185185185185,0.0421742893965449,0.00185325033211181
"2020-07-10","ES","ESNC",654214,0.0420289855072464,0,0,0.00185185185185185,0.0423912727109179,0.00185268505949433
"2020-07-11","ES","ESNC",654214,0.0420289855072464,0,0,0.00185185185185185,0.0423508837445607,0.0018527033320191
"2020-07-12","ES","ESNC",654214,0.0420289855072464,0,0,0.00185185185185185,0.0423588031216571,0.00185014195937694
"2020-07-13","ES","ESNC",654214,0.0420289855072464,0,0,0.00185185185185185,0.0423764849877027,0.00185115506856519
"2020-07-14","ES","ESNC",654214,0.0420289855072464,0,0,0.00185185185185185,0.0423439462458926,0.00185164956147074
"2020-07-15","ES","ESNC",654214,0.0420289855072464,0,0,0.00185185185185185,0.042346516689589,0.00185159636063326
"2020-07-16","ES","ESNC",654214,0.0420289855072464,0,0,0.00185185185185185,0.0423288609423754,0.00185230940864338
"2020-07-17","ES","ESNC",654214,0.0421319796954315,0,0,0.00185185185185185,0.0423233303560533,0.00185200105330979
"2020-07-18","ES","ESNC",654214,0.0421319796954315,0,0,0.00185185185185185,0.0423701889804609,0.00185187283261555
"2020-07-19","ES","ESNC",654214,0.0455056179775281,0,0,0.00185185185185185,0.0432793077897408,0.00185190156988258
"2020-07-20","ES","ESNC",654214,0.0475903614457831,0,0,0.00185185185185185,0.0461193392328664,0.00185190679560862
"2020-07-21","ES","ESNC",654214,0.0475903614457831,0,0,0.00185185185185185,0.0475844032313043,0.00185181340849934
"2020-07-22","ES","ESNC",654214,0.0437956204379562,0,0,0.00185185185185185,0.0461204806580087,0.00185196131159963
"2020-07-23","ES","ESNC",654214,0.0437956204379562,0,0,0.00185185185185185,0.0455493768617875,0.00185195606608076
"2020-07-24","ES","ESNC",654214,0.0437956204379562,0,0,0.00185185185185185,0.0452055388450037,0.00185185370118092
"2020-07-25","ES","ESNC",654214,0.0437956204379562,0,0,0.00185185185185185,0.0450316045184588,0.00185183976297676
"2020-07-26","ES","ESNC",654214,0.043010752688172,0,0,0.00185185185185185,0.0447602021950943,0.00185184969943339
"2020-07-27","ES","ESNC",654214,0.043010752688172,0,0,0.00185185185185185,0.0445493162359141,0.00185184076826351
"2020-07-28","ES","ESNC",654214,0.0345238095238095,0,0,0.00185185185185185,0.0432882878149919,0.00185179173510626
"2020-07-29","ES","ESNC",654214,0.0345238095238095,0,0,0.00185185185185185,0.0426077305196828,0.00185181201898347
