"year_week","date","countrycode","countryname","hosp_occupancy","icu_occupancy","icu_weekly_admission"
"2020-W16",2020-04-17,"SE","Sweden",2266,516,2.44374857346177
"2020-W16",2020-04-18,"SE","Sweden",2219,526,2.44374857346177
"2020-W16",2020-04-19,"SE","Sweden",2275,513,2.44374857346177
"2020-W17",2020-04-20,"SE","Sweden",2319,539,2.32644864193561
"2020-W17",2020-04-21,"SE","Sweden",2233,520,2.32644864193561
"2020-W17",2020-04-22,"SE","Sweden",2240,515,2.32644864193561
"2020-W17",2020-04-23,"SE","Sweden",2243,539,2.32644864193561
"2020-W17",2020-04-24,"SE","Sweden",2236,537,2.32644864193561
"2020-W17",2020-04-25,"SE","Sweden",2245,551,2.32644864193561
"2020-W17",2020-04-26,"SE","Sweden",2263,542,2.32644864193561
"2020-W18",2020-04-27,"SE","Sweden",2313,533,1.83769892724325
"2020-W18",2020-04-28,"SE","Sweden",2279,529,1.83769892724325
"2020-W18",2020-04-29,"SE","Sweden",2222,541,1.83769892724325
"2020-W18",2020-04-30,"SE","Sweden",2230,521,1.83769892724325
"2020-W18",2020-05-01,"SE","Sweden",2145,518,1.83769892724325
"2020-W18",2020-05-02,"SE","Sweden",2173,518,1.83769892724325
"2020-W18",2020-05-03,"SE","Sweden",2206,512,1.83769892724325
"2020-W19",2020-05-04,"SE","Sweden",2256,511,1.52489910984015
"2020-W19",2020-05-05,"SE","Sweden",2265,497,1.52489910984015
"2020-W19",2020-05-06,"SE","Sweden",2220,487,1.52489910984015
"2020-W19",2020-05-07,"SE","Sweden",2184,480,1.52489910984015
"2020-W19",2020-05-08,"SE","Sweden",2120,467,1.52489910984015
"2020-W19",2020-05-09,"SE","Sweden",2064,464,1.52489910984015
"2020-W19",2020-05-10,"SE","Sweden",2065,448,1.52489910984015
"2020-W20",2020-05-11,"SE","Sweden",2072,437,1.21209929243704
"2020-W20",2020-05-12,"SE","Sweden",1993,426,1.21209929243704
"2020-W20",2020-05-13,"SE","Sweden",1970,415,1.21209929243704
"2020-W20",2020-05-14,"SE","Sweden",1911,403,1.21209929243704
"2020-W20",2020-05-15,"SE","Sweden",1853,391,1.21209929243704
"2020-W20",2020-05-16,"SE","Sweden",1834,383,1.21209929243704
"2020-W20",2020-05-17,"SE","Sweden",1833,387,1.21209929243704
"2020-W21",2020-05-18,"SE","Sweden",1845,385,1.08502436661703
"2020-W21",2020-05-19,"SE","Sweden",1793,369,1.08502436661703
"2020-W21",2020-05-20,"SE","Sweden",1765,367,1.08502436661703
"2020-W21",2020-05-21,"SE","Sweden",1724,360,1.08502436661703
"2020-W21",2020-05-22,"SE","Sweden",1742,356,1.08502436661703
"2020-W21",2020-05-23,"SE","Sweden",1725,347,1.08502436661703
"2020-W21",2020-05-24,"SE","Sweden",1728,355,1.08502436661703
"2020-W22",2020-05-25,"SE","Sweden",1769,348,1.19254930384934
"2020-W22",2020-05-26,"SE","Sweden",1784,339,1.19254930384934
"2020-W22",2020-05-27,"SE","Sweden",1721,322,1.19254930384934
"2020-W22",2020-05-28,"SE","Sweden",1673,322,1.19254930384934
"2020-W22",2020-05-29,"SE","Sweden",1650,315,1.19254930384934
"2020-W22",2020-05-30,"SE","Sweden",1619,310,1.19254930384934
"2020-W22",2020-05-31,"SE","Sweden",1635,317,1.19254930384934
"2020-W23",2020-06-01,"SE","Sweden",1684,313,1.20232429814319
"2020-W23",2020-06-02,"SE","Sweden",1650,309,1.20232429814319
"2020-W23",2020-06-03,"SE","Sweden",1591,311,1.20232429814319
"2020-W23",2020-06-04,"SE","Sweden",1583,299,1.20232429814319
"2020-W23",2020-06-05,"SE","Sweden",1539,290,1.20232429814319
"2020-W23",2020-06-06,"SE","Sweden",1511,293,1.20232429814319
"2020-W23",2020-06-07,"SE","Sweden",1520,299,1.20232429814319
"2020-W24",2020-06-08,"SE","Sweden",1568,293,0.889524480740084
"2020-W24",2020-06-09,"SE","Sweden",1469,280,0.889524480740084
"2020-W24",2020-06-10,"SE","Sweden",1436,279,0.889524480740084
"2020-W24",2020-06-11,"SE","Sweden",1386,270,0.889524480740084
"2020-W24",2020-06-12,"SE","Sweden",1369,267,0.889524480740084
"2020-W24",2020-06-13,"SE","Sweden",1323,256,0.889524480740084
"2020-W24",2020-06-14,"SE","Sweden",1328,263,0.889524480740084
"2020-W25",2020-06-15,"SE","Sweden",1303,244,0.723349577744684
"2020-W25",2020-06-16,"SE","Sweden",1281,237,0.723349577744684
"2020-W25",2020-06-17,"SE","Sweden",1240,232,0.723349577744684
"2020-W25",2020-06-18,"SE","Sweden",1197,224,0.723349577744684
"2020-W25",2020-06-19,"SE","Sweden",1177,217,0.723349577744684
"2020-W25",2020-06-20,"SE","Sweden",1173,215,0.723349577744684
"2020-W25",2020-06-21,"SE","Sweden",1179,212,0.723349577744684
"2020-W26",2020-06-22,"SE","Sweden",1168,203,0.547399680455437
"2020-W26",2020-06-23,"SE","Sweden",1153,203,0.547399680455437
"2020-W26",2020-06-24,"SE","Sweden",1109,192,0.547399680455437
"2020-W26",2020-06-25,"SE","Sweden",1019,181,0.547399680455437
"2020-W26",2020-06-26,"SE","Sweden",997,174,0.547399680455437
"2020-W26",2020-06-27,"SE","Sweden",983,167,0.547399680455437
"2020-W26",2020-06-28,"SE","Sweden",990,166,0.547399680455437
"2020-W27",2020-06-29,"SE","Sweden",919,157,0.332349805990801
"2020-W27",2020-06-30,"SE","Sweden",896,152,0.332349805990801
"2020-W27",2020-07-01,"SE","Sweden",865,142,0.332349805990801
"2020-W27",2020-07-02,"SE","Sweden",786,133,0.332349805990801
"2020-W27",2020-07-03,"SE","Sweden",766,138,0.332349805990801
"2020-W27",2020-07-04,"SE","Sweden",753,140,0.332349805990801
"2020-W27",2020-07-05,"SE","Sweden",748,138,0.332349805990801
"2020-W28",2020-07-06,"SE","Sweden",677,127,0.136849920113859
"2020-W28",2020-07-07,"SE","Sweden",656,119,0.136849920113859
"2020-W28",2020-07-08,"SE","Sweden",628,108,0.136849920113859
"2020-W28",2020-07-09,"SE","Sweden",563,101,0.136849920113859
"2020-W28",2020-07-10,"SE","Sweden",523,97,0.136849920113859
"2020-W28",2020-07-11,"SE","Sweden",509,94,0.136849920113859
"2020-W28",2020-07-12,"SE","Sweden",507,94,0.136849920113859
"2020-W29",2020-07-13,"SE","Sweden",474,91,0.136849920113859
"2020-W29",2020-07-14,"SE","Sweden",464,86,0.136849920113859
"2020-W29",2020-07-15,"SE","Sweden",436,79,0.136849920113859
"2020-W29",2020-07-16,"SE","Sweden",366,67,0.136849920113859
"2020-W29",2020-07-17,"SE","Sweden",341,68,0.136849920113859
"2020-W29",2020-07-18,"SE","Sweden",335,65,0.136849920113859
"2020-W29",2020-07-19,"SE","Sweden",337,66,0.136849920113859
"2020-W30",2020-07-20,"SE","Sweden",312,60,0.117299931526165
"2020-W30",2020-07-21,"SE","Sweden",322,54,0.117299931526165
"2020-W30",2020-07-22,"SE","Sweden",304,47,0.117299931526165
"2020-W30",2020-07-23,"SE","Sweden",313,53,0.117299931526165
"2020-W30",2020-07-24,"SE","Sweden",302,48,0.117299931526165
"2020-W30",2020-07-25,"SE","Sweden",300,50,0.117299931526165
"2020-W30",2020-07-26,"SE","Sweden",299,48,0.117299931526165
"2020-W31",2020-07-27,"SE","Sweden",298,48,0.107524937232318
"2020-W31",2020-07-28,"SE","Sweden",298,46,0.107524937232318
"2020-W31",2020-07-29,"SE","Sweden",284,39,0.107524937232318
"2020-W31",2020-07-30,"SE","Sweden",258,35,0.107524937232318
"2020-W31",2020-07-31,"SE","Sweden",258,33,0.107524937232318
"2020-W31",2020-08-01,"SE","Sweden",267,33,0.107524937232318
"2020-W31",2020-08-02,"SE","Sweden",264,35,0.107524937232318
"2020-W32",2020-08-03,"SE","Sweden",243,34,0.156399908701553
"2020-W32",2020-08-04,"SE","Sweden",236,34,0.156399908701553
"2020-W32",2020-08-05,"SE","Sweden",227,33,0.156399908701553
"2020-W32",2020-08-06,"SE","Sweden",210,31,0.156399908701553
"2020-W32",2020-08-07,"SE","Sweden",210,29,0.156399908701553
"2020-W32",2020-08-08,"SE","Sweden",211,29,0.156399908701553
"2020-W32",2020-08-09,"SE","Sweden",208,29,0.156399908701553
"2020-W33",2020-08-10,"SE","Sweden",221,31,0.127074925820012
"2020-W33",2020-08-11,"SE","Sweden",213,32,0.127074925820012
"2020-W33",2020-08-12,"SE","Sweden",218,33,0.127074925820012
"2020-W33",2020-08-13,"SE","Sweden",215,33,0.127074925820012
"2020-W33",2020-08-14,"SE","Sweden",209,31,0.127074925820012
"2020-W33",2020-08-15,"SE","Sweden",209,29,0.127074925820012
"2020-W33",2020-08-16,"SE","Sweden",211,29,0.127074925820012
"2020-W34",2020-08-17,"SE","Sweden",215,32,0.0781999543507767
"2020-W34",2020-08-18,"SE","Sweden",215,28,0.0781999543507767
"2020-W34",2020-08-19,"SE","Sweden",217,29,0.0781999543507767
"2020-W34",2020-08-20,"SE","Sweden",203,27,0.0781999543507767
"2020-W34",2020-08-21,"SE","Sweden",199,26,0.0781999543507767
"2020-W34",2020-08-22,"SE","Sweden",199,26,0.0781999543507767
"2020-W34",2020-08-23,"SE","Sweden",199,26,0.0781999543507767
"2020-W35",2020-08-24,"SE","Sweden",187,22,0.0684249600569296
"2020-W35",2020-08-25,"SE","Sweden",177,21,0.0684249600569296
"2020-W35",2020-08-26,"SE","Sweden",168,21,0.0684249600569296
"2020-W35",2020-08-27,"SE","Sweden",177,19,0.0684249600569296
"2020-W35",2020-08-28,"SE","Sweden",165,19,0.0684249600569296
"2020-W35",2020-08-29,"SE","Sweden",166,20,0.0684249600569296
"2020-W35",2020-08-30,"SE","Sweden",163,20,0.0684249600569296
"2020-W36",2020-08-31,"SE","Sweden",159,18,0.0781999543507767
"2020-W36",2020-09-01,"SE","Sweden",163,17,0.0781999543507767
"2020-W36",2020-09-02,"SE","Sweden",152,17,0.0781999543507767
"2020-W36",2020-09-03,"SE","Sweden",142,15,0.0781999543507767
"2020-W36",2020-09-04,"SE","Sweden",136,14,0.0781999543507767
"2020-W36",2020-09-05,"SE","Sweden",131,14,0.0781999543507767
"2020-W36",2020-09-06,"SE","Sweden",135,14,0.0781999543507767
"2020-W37",2020-09-07,"SE","Sweden",138,12,0.0781999543507767
"2020-W37",2020-09-08,"SE","Sweden",141,14,0.0781999543507767
"2020-W37",2020-09-09,"SE","Sweden",140,14,0.0781999543507767
"2020-W37",2020-09-10,"SE","Sweden",131,15,0.0781999543507767
"2020-W37",2020-09-11,"SE","Sweden",129,14,0.0781999543507767
"2020-W37",2020-09-12,"SE","Sweden",128,15,0.0781999543507767
"2020-W37",2020-09-13,"SE","Sweden",130,15,0.0781999543507767
"2020-W38",2020-09-14,"SE","Sweden",148,16,0.0684249600569296
"2020-W38",2020-09-15,"SE","Sweden",145,16,0.0684249600569296
"2020-W38",2020-09-16,"SE","Sweden",152,16,0.0684249600569296
"2020-W38",2020-09-17,"SE","Sweden",154,15,0.0684249600569296
"2020-W38",2020-09-18,"SE","Sweden",141,17,0.0684249600569296
"2020-W38",2020-09-19,"SE","Sweden",142,20,0.0684249600569296
"2020-W38",2020-09-20,"SE","Sweden",139,19,0.0684249600569296
"2020-W39",2020-09-21,"SE","Sweden",138,17,0.0781999543507767
"2020-W39",2020-09-22,"SE","Sweden",148,16,0.0781999543507767
"2020-W39",2020-09-23,"SE","Sweden",150,15,0.0781999543507767
"2020-W39",2020-09-24,"SE","Sweden",151,15,0.0781999543507767
"2020-W39",2020-09-25,"SE","Sweden",156,20,0.0781999543507767
"2020-W39",2020-09-26,"SE","Sweden",158,19,0.0781999543507767
"2020-W39",2020-09-27,"SE","Sweden",158,18,0.0781999543507767
"2020-W40",2020-09-28,"SE","Sweden",156,16,0.136849920113859
"2020-W40",2020-09-29,"SE","Sweden",158,17,0.136849920113859
"2020-W40",2020-09-30,"SE","Sweden",155,17,0.136849920113859
"2020-W40",2020-10-01,"SE","Sweden",156,16,0.136849920113859
"2020-W40",2020-10-02,"SE","Sweden",161,21,0.136849920113859
"2020-W40",2020-10-03,"SE","Sweden",161,21,0.136849920113859
"2020-W40",2020-10-04,"SE","Sweden",162,20,0.136849920113859
"2020-W41",2020-10-05,"SE","Sweden",155,22,0.215049874464636
"2020-W41",2020-10-06,"SE","Sweden",166,21,0.215049874464636
"2020-W41",2020-10-07,"SE","Sweden",172,24,0.215049874464636
"2020-W41",2020-10-08,"SE","Sweden",179,23,0.215049874464636
"2020-W41",2020-10-09,"SE","Sweden",180,23,0.215049874464636
"2020-W41",2020-10-10,"SE","Sweden",184,23,0.215049874464636
"2020-W41",2020-10-11,"SE","Sweden",196,21,0.215049874464636
"2020-W42",2020-10-12,"SE","Sweden",204,24,0.185724891583095
"2020-W42",2020-10-13,"SE","Sweden",222,25,0.185724891583095
"2020-W42",2020-10-14,"SE","Sweden",218,24,0.185724891583095
"2020-W42",2020-10-15,"SE","Sweden",218,23,0.185724891583095
"2020-W42",2020-10-16,"SE","Sweden",238,27,0.185724891583095
"2020-W42",2020-10-17,"SE","Sweden",238,31,0.185724891583095
"2020-W42",2020-10-18,"SE","Sweden",245,30,0.185724891583095
"2020-W43",2020-10-19,"SE","Sweden",270,30,0.361674788872342
"2020-W43",2020-10-20,"SE","Sweden",278,30,0.361674788872342
"2020-W43",2020-10-21,"SE","Sweden",290,34,0.361674788872342
"2020-W43",2020-10-22,"SE","Sweden",309,37,0.361674788872342
"2020-W43",2020-10-23,"SE","Sweden",309,36,0.361674788872342
"2020-W43",2020-10-24,"SE","Sweden",328,37,0.361674788872342
"2020-W43",2020-10-25,"SE","Sweden",344,41,0.361674788872342
"2020-W44",2020-10-26,"SE","Sweden",386,45,0.576724663336978
"2020-W44",2020-10-27,"SE","Sweden",452,56,0.576724663336978
"2020-W44",2020-10-28,"SE","Sweden",495,55,0.576724663336978
"2020-W44",2020-10-29,"SE","Sweden",490,60,0.576724663336978
"2020-W44",2020-10-30,"SE","Sweden",531,58,0.576724663336978
"2020-W44",2020-10-31,"SE","Sweden",560,61,0.576724663336978
"2020-W44",2020-11-01,"SE","Sweden",564,60,0.576724663336978
"2020-W45",2020-11-02,"SE","Sweden",685,74,1.07524937232318
"2020-W45",2020-11-03,"SE","Sweden",738,81,1.07524937232318
"2020-W45",2020-11-04,"SE","Sweden",800,90,1.07524937232318
"2020-W45",2020-11-05,"SE","Sweden",835,90,1.07524937232318
"2020-W45",2020-11-06,"SE","Sweden",876,90,1.07524937232318
"2020-W45",2020-11-07,"SE","Sweden",876,98,1.07524937232318
"2020-W45",2020-11-08,"SE","Sweden",904,99,1.07524937232318
"2020-W46",2020-11-09,"SE","Sweden",1047,122,1.17299931526165
"2020-W46",2020-11-10,"SE","Sweden",1140,127,1.17299931526165
"2020-W46",2020-11-11,"SE","Sweden",1229,122,1.17299931526165
"2020-W46",2020-11-12,"SE","Sweden",1286,123,1.17299931526165
"2020-W46",2020-11-13,"SE","Sweden",1335,124,1.17299931526165
"2020-W46",2020-11-14,"SE","Sweden",1340,132,1.17299931526165
"2020-W46",2020-11-15,"SE","Sweden",1345,132,1.17299931526165
"2020-W47",2020-11-16,"SE","Sweden",1481,156,1.48579913266476
"2020-W47",2020-11-17,"SE","Sweden",1591,166,1.48579913266476
"2020-W47",2020-11-18,"SE","Sweden",1649,178,1.48579913266476
"2020-W47",2020-11-19,"SE","Sweden",1687,180,1.48579913266476
"2020-W47",2020-11-20,"SE","Sweden",1671,177,1.48579913266476
"2020-W47",2020-11-21,"SE","Sweden",1672,179,1.48579913266476
"2020-W47",2020-11-22,"SE","Sweden",1676,178,1.48579913266476
"2020-W48",2020-11-23,"SE","Sweden",1937,196,1.661749029954
"2020-W48",2020-11-24,"SE","Sweden",1945,206,1.661749029954
"2020-W48",2020-11-25,"SE","Sweden",1995,217,1.661749029954
"2020-W48",2020-11-26,"SE","Sweden",2010,228,1.661749029954
"2020-W48",2020-11-27,"SE","Sweden",1989,229,1.661749029954
"2020-W48",2020-11-28,"SE","Sweden",1978,226,1.661749029954
"2020-W48",2020-11-29,"SE","Sweden",1996,225,1.661749029954
"2020-W49",2020-11-30,"SE","Sweden",2111,237,1.62264905277862
"2020-W49",2020-12-01,"SE","Sweden",2127,238,1.62264905277862
"2020-W49",2020-12-02,"SE","Sweden",2094,241,1.62264905277862
"2020-W49",2020-12-03,"SE","Sweden",2041,254,1.62264905277862
"2020-W49",2020-12-04,"SE","Sweden",2050,248,1.62264905277862
"2020-W49",2020-12-05,"SE","Sweden",2039,246,1.62264905277862
"2020-W49",2020-12-06,"SE","Sweden",2046,248,1.62264905277862
"2020-W50",2020-12-07,"SE","Sweden",2211,243,1.61287405848477
"2020-W50",2020-12-08,"SE","Sweden",2273,258,1.61287405848477
"2020-W50",2020-12-09,"SE","Sweden",2312,259,1.61287405848477
"2020-W50",2020-12-10,"SE","Sweden",2310,249,1.61287405848477
"2020-W50",2020-12-11,"SE","Sweden",2266,250,1.61287405848477
"2020-W50",2020-12-12,"SE","Sweden",2264,253,1.61287405848477
"2020-W50",2020-12-13,"SE","Sweden",2278,255,1.61287405848477
"2020-W51",2020-12-14,"SE","Sweden",2440,251,1.8279239329494
"2020-W51",2020-12-15,"SE","Sweden",2522,262,1.8279239329494
"2020-W51",2020-12-16,"SE","Sweden",2543,263,1.8279239329494
"2020-W51",2020-12-17,"SE","Sweden",2542,271,1.8279239329494
"2020-W51",2020-12-18,"SE","Sweden",2553,281,1.8279239329494
"2020-W51",2020-12-19,"SE","Sweden",2559,280,1.8279239329494
"2020-W51",2020-12-20,"SE","Sweden",2562,283,1.8279239329494
"2020-W52",2020-12-21,"SE","Sweden",2757,294,2.00387383023865
"2020-W52",2020-12-22,"SE","Sweden",2751,300,2.00387383023865
"2020-W52",2020-12-23,"SE","Sweden",2716,303,2.00387383023865
"2020-W52",2020-12-24,"SE","Sweden",2708,303,2.00387383023865
"2020-W52",2020-12-25,"SE","Sweden",2709,306,2.00387383023865
"2020-W52",2020-12-26,"SE","Sweden",2713,305,2.00387383023865
"2020-W52",2020-12-27,"SE","Sweden",2731,311,2.00387383023865
"2020-W53",2020-12-28,"SE","Sweden",2919,333,2.25802368187868
"2020-W53",2020-12-29,"SE","Sweden",2911,337,2.25802368187868
"2020-W53",2020-12-30,"SE","Sweden",2904,339,2.25802368187868
"2020-W53",2020-12-31,"SE","Sweden",2905,336,2.25802368187868
"2020-W53",2021-01-01,"SE","Sweden",2900,335,2.25802368187868
"2020-W53",2021-01-02,"SE","Sweden",2904,334,2.25802368187868
"2020-W53",2021-01-03,"SE","Sweden",2911,336,2.25802368187868
"2021-W01",2021-01-04,"SE","Sweden",2993,358,1.79859895006786
"2021-W01",2021-01-05,"SE","Sweden",3006,361,1.79859895006786
"2021-W01",2021-01-06,"SE","Sweden",2971,365,1.79859895006786
"2021-W01",2021-01-07,"SE","Sweden",2947,375,1.79859895006786
"2021-W01",2021-01-08,"SE","Sweden",2849,374,1.79859895006786
"2021-W01",2021-01-09,"SE","Sweden",2841,373,1.79859895006786
"2021-W01",2021-01-10,"SE","Sweden",2848,371,1.79859895006786
"2021-W02",2021-01-11,"SE","Sweden",2827,384,1.37827419543244
"2021-W02",2021-01-12,"SE","Sweden",2767,369,1.37827419543244
"2021-W02",2021-01-13,"SE","Sweden",2749,363,1.37827419543244
"2021-W02",2021-01-14,"SE","Sweden",2639,356,1.37827419543244
"2021-W02",2021-01-15,"SE","Sweden",2572,355,1.37827419543244
"2021-W02",2021-01-16,"SE","Sweden",2565,354,1.37827419543244
"2021-W02",2021-01-17,"SE","Sweden",2531,354,1.37827419543244
"2021-W02",2021-01-18,"SE","Sweden",NA,NA,1.37827419543244
"2021-W02",2021-01-19,"SE","Sweden",NA,NA,1.37827419543244
"2021-W02",2021-01-20,"SE","Sweden",NA,NA,1.37827419543244
"2021-W02",2021-01-21,"SE","Sweden",NA,NA,1.37827419543244
"2021-W02",2021-01-22,"SE","Sweden",NA,NA,1.37827419543244
"2021-W02",2021-01-23,"SE","Sweden",NA,NA,1.37827419543244
